# y+ ()         
# Time          	patch           	min             	max             	average         
1.655           	airfoil	2.47622839e-04	2.02509873e-02	6.89362988e-03
1.66            	airfoil	2.25722918e-05	2.02600541e-02	6.90900126e-03
1.665           	airfoil	1.93288772e-04	2.02690775e-02	6.92456056e-03
1.67            	airfoil	2.34780220e-04	2.02780574e-02	6.93969457e-03
1.675           	airfoil	5.62310981e-05	2.02869938e-02	6.95536447e-03
1.68            	airfoil	2.36145953e-04	2.02958868e-02	6.97154015e-03
1.685           	airfoil	2.32890989e-04	2.03047364e-02	6.98730210e-03
1.69            	airfoil	1.00601841e-04	2.03135424e-02	7.00266058e-03
1.695           	airfoil	2.06600611e-04	2.03223049e-02	7.01895093e-03
1.7             	airfoil	2.76943551e-04	2.03310239e-02	7.03495376e-03
1.705           	airfoil	1.28176109e-04	2.03396991e-02	7.05067964e-03
1.71            	airfoil	9.95458118e-05	2.03483306e-02	7.06629818e-03
1.715           	airfoil	2.20471539e-04	2.03569181e-02	7.08205181e-03
1.72            	airfoil	1.90627653e-04	2.03654616e-02	7.09838756e-03
1.725           	airfoil	1.17541346e-04	2.03739610e-02	7.11444461e-03
1.73            	airfoil	2.51691177e-04	2.03824162e-02	7.13046559e-03
1.735           	airfoil	2.66743656e-04	2.03908271e-02	7.14625216e-03
1.74            	airfoil	1.51542753e-04	2.03991935e-02	7.16174177e-03
1.745           	airfoil	1.55407056e-04	2.04075153e-02	7.17826868e-03
1.75            	airfoil	2.40234736e-04	2.04162626e-02	7.19614017e-03
1.755           	airfoil	3.00912569e-04	2.04249330e-02	7.21371660e-03
1.76            	airfoil	2.59767738e-04	2.04335408e-02	7.23108297e-03
1.765           	airfoil	1.83413552e-04	2.04420903e-02	7.24819562e-03
1.77            	airfoil	4.28744318e-05	2.04505815e-02	7.26524863e-03
1.775           	airfoil	1.73637803e-04	2.04590128e-02	7.28343272e-03
1.78            	airfoil	2.43179202e-04	2.04673825e-02	7.30122448e-03
1.785           	airfoil	2.94834648e-04	2.04756890e-02	7.31881304e-03
1.79            	airfoil	2.80818602e-04	2.04839313e-02	7.33622730e-03
1.795           	airfoil	2.33663808e-04	2.04921089e-02	7.35346775e-03
1.8             	airfoil	1.80241593e-04	2.05002214e-02	7.37048422e-03
1.805           	airfoil	1.15278112e-04	2.05082688e-02	7.38736026e-03
1.81            	airfoil	8.02754845e-05	2.05162515e-02	7.40520582e-03
1.815           	airfoil	1.49335224e-04	2.05241697e-02	7.42276925e-03
1.82            	airfoil	1.94508572e-04	2.05320241e-02	7.44012860e-03
1.825           	airfoil	2.31997513e-04	2.05398150e-02	7.45732196e-03
1.83            	airfoil	9.19977358e-05	2.05475432e-02	7.47432673e-03
1.835           	airfoil	2.08147015e-04	2.05552092e-02	7.49137222e-03
1.84            	airfoil	2.89456332e-04	2.05628135e-02	7.50822798e-03
1.845           	airfoil	2.55417654e-04	2.05703567e-02	7.52479043e-03
1.85            	airfoil	2.12910910e-04	2.05778392e-02	7.54180621e-03
1.855           	airfoil	1.59016032e-04	2.05852615e-02	7.55918003e-03
1.86            	airfoil	7.11768769e-05	2.05926241e-02	7.57626276e-03
1.865           	airfoil	1.24072184e-04	2.05999276e-02	7.59327080e-03
1.87            	airfoil	1.86828731e-04	2.06071722e-02	7.61013800e-03
