# y+ ()         
# Time          	patch           	min             	max             	average         
1.43            	airfoil	1.35298825e-04	5.65458350e-03	2.05468202e-03
1.435           	airfoil	1.35241947e-04	5.65216158e-03	2.05742220e-03
1.44            	airfoil	1.35185900e-04	5.64971251e-03	2.06013104e-03
1.445           	airfoil	1.35130708e-04	5.64723728e-03	2.06281252e-03
1.45            	airfoil	1.35076215e-04	5.64473666e-03	2.06546764e-03
1.455           	airfoil	1.35022307e-04	5.64221169e-03	2.06808492e-03
1.46            	airfoil	1.34969618e-04	5.63966326e-03	2.07063555e-03
1.465           	airfoil	1.34917469e-04	5.63709188e-03	2.07313517e-03
1.47            	airfoil	1.34865974e-04	5.63449836e-03	2.07558890e-03
1.475           	airfoil	1.34813202e-04	5.63188179e-03	2.07801008e-03
1.48            	airfoil	1.34762910e-04	5.62924652e-03	2.08033198e-03
1.485           	airfoil	1.34713088e-04	5.62658924e-03	2.08275043e-03
1.49            	airfoil	1.34665347e-04	5.62391282e-03	2.08519162e-03
1.495           	airfoil	1.34617175e-04	5.62121353e-03	2.08754728e-03
1.5             	airfoil	1.34570218e-04	5.61849498e-03	2.08987878e-03
1.505           	airfoil	1.34566275e-04	5.61575331e-03	2.09216030e-03
1.51            	airfoil	1.34594942e-04	5.61299160e-03	2.09437251e-03
1.515           	airfoil	1.34643367e-04	5.61020633e-03	2.09658955e-03
1.52            	airfoil	1.34702729e-04	5.60739883e-03	2.09897224e-03
1.525           	airfoil	1.34771311e-04	5.60457016e-03	2.10127326e-03
1.53            	airfoil	1.34846035e-04	5.60172065e-03	2.10354079e-03
1.535           	airfoil	1.34922808e-04	5.59884672e-03	2.10575915e-03
1.54            	airfoil	1.35000377e-04	5.59595195e-03	2.10793985e-03
1.545           	airfoil	1.35079714e-04	5.59303501e-03	2.11007983e-03
1.55            	airfoil	1.35160202e-04	5.59009779e-03	2.11220160e-03
1.555           	airfoil	1.35242858e-04	5.58713957e-03	2.11430145e-03
1.56            	airfoil	1.35323364e-04	5.58415765e-03	2.11635961e-03
1.565           	airfoil	1.35404246e-04	5.58115650e-03	2.11839386e-03
1.57            	airfoil	1.35489213e-04	5.57813864e-03	2.12040161e-03
1.575           	airfoil	1.35570558e-04	5.57509339e-03	2.12238336e-03
1.58            	airfoil	1.35654511e-04	5.57203397e-03	2.12436136e-03
1.585           	airfoil	1.35737850e-04	5.56895483e-03	2.12631651e-03
1.59            	airfoil	1.35821470e-04	5.56585888e-03	2.12824999e-03
1.595           	airfoil	1.35903122e-04	5.56273968e-03	2.13015084e-03
1.6             	airfoil	1.35984559e-04	5.55960418e-03	2.13202016e-03
1.605           	airfoil	1.36067149e-04	5.55645387e-03	2.13387657e-03
1.61            	airfoil	1.36152138e-04	5.55328784e-03	2.13572760e-03
1.615           	airfoil	1.36238522e-04	5.55010735e-03	2.13755607e-03
1.62            	airfoil	1.36323005e-04	5.54690657e-03	2.13935995e-03
1.625           	airfoil	1.36406411e-04	5.54368732e-03	2.14114515e-03
